lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,759,2.0,0.03340829908847809,0.9850999712944031,0.8306869268417358,0.6917651891708374,0.7419533729553223,3.853919267654419,173.0,2.7725648880004883,6.659892559051514,0,,,,,,,,,,,,,,,
,,769,2.0,0.056893788278102875,0.9765999913215637,0.8605386018753052,0.9000592231750488,0.8791297674179077,3.8192179203033447,245.0,7.670349597930908,11.54646110534668,0,,,,,,,,,,,,,,,
,,779,2.0,0.06039278581738472,0.9768999814987183,0.8670221567153931,0.8109525442123413,0.8364336490631104,3.9197943210601807,269.0,1.9099878072738647,5.890174865722656,0,,,,,,,,,,,,,,,
,,789,2.0,0.10225534439086914,0.9620000123977661,0.8191537857055664,0.7494311332702637,0.77940833568573,5.9532294273376465,347.0,11.775763511657715,17.831249237060547,0,,,,,,,,,,,,,,,
,,799,2.0,0.03785259649157524,0.9846000075340271,0.5716785192489624,0.6099787354469299,0.5865390300750732,4.1265058517456055,58.0,0.7568818926811218,4.921240329742432,0,,,,,,,,,,,,,,,
,,809,2.0,0.0592399425804615,0.972100019454956,0.6276187896728516,0.7515347003936768,0.6676973104476929,5.472695350646973,134.0,13.044105529785156,18.576040267944336,0,,,,,,,,,,,,,,,
,,819,2.0,0.055971208959817886,0.984499990940094,0.8344104290008545,0.748630940914154,0.7848808765411377,3.4411580562591553,111.0,2.5809459686279297,6.078075408935547,0,,,,,,,,,,,,,,,
,,829,2.0,0.040210478007793427,0.9829000234603882,0.7011067867279053,0.727575957775116,0.7134810090065002,3.2496261596679688,121.0,6.835476875305176,10.125313758850098,0,,,,,,,,,,,,,,,
,,839,2.0,0.038698479533195496,0.9836999773979187,0.8200346231460571,0.9154915809631348,0.8610871434211731,3.129847288131714,135.0,2.646289825439453,5.814835548400879,0,,,,,,,,,,,,,,,
,,849,2.0,0.023250237107276917,0.9923999905586243,0.7753039598464966,0.9362806081771851,0.8370603322982788,3.1079695224761963,79.0,1.0987012386322021,4.229921340942383,0,,,,,,,,,,,,,,,
